id_mrigo,mrigo
37,Чулымский
36,Чистоозерный
35,Черепановский
34,Чановский
33,Усть-Таркский
32,Убинский
31,Тогучинский
30,Татарский
29,Сузунский
28,Северный
27,р.п. Кольцово
26,Ордынский
25,Обь
24,Новосибирский
23,Новосибирск
22,Мошковский
21,Маслянинский
20,Кыштовский
19,Купинский
18,Куйбышевский
17,Краснозерский
16,Кочковский
15,Коченевский
14,Колыванский
13,Каргатский
12,Карасукский
11,Искитим
10,Искитимский
9,Здвинский
8,Доволенский
7,Венгеровский
6,Болотнинский
5,Бердск
4,Баганский
2,Барабинский
